date,utm_e,utm_n,stratum_full,year,period,pool,gear,secchi,temp,depth,cond,current,do,substrt,vegd,BLGL,FWDM,CARP,LMBS,ERSN,BKCP,SHRH,GZSD,WTBS,SFSN
1989-09-14,640922,4846913,Other,1989,3,08,T,NA,19.1,4.8,NA,0.31,NA,3,NA,0,0,0,0,0,0,0,0,0,0
1989-09-14,641041,4847278,Other,1989,3,08,T,NA,19.1,5.1,NA,0.2,NA,3,NA,0,0,0,0,0,0,0,0,0,0
1989-09-14,641142,4847725,Main Chann. Bord.,1989,3,08,H,NA,19.1,4.15,NA,0.16,NA,3,NA,0,2,0,0,0,1,1,0,0,0
1989-09-14,641188,4847634,Other,1989,3,08,T,NA,19.1,4.15,NA,0.16,NA,3,NA,0,0,0,0,0,0,0,0,0,0
1989-09-14,641188,4848044,Main Chann. Bord.,1989,3,08,H,NA,19,4,NA,0.16,NA,3,NA,0,0,0,0,0,1,0,0,0,0
1989-09-14,641307,4848053,Other,1989,3,08,T,NA,19,4,NA,0.16,NA,3,NA,0,0,0,0,0,0,0,0,0,0
1989-09-18,639915,4849767,Side Chann. Bord.,1989,3,08,H,NA,19.8,2.7,335,NA,NA,NA,NA,0,1,0,0,0,3,10,0,0,0
1989-09-18,639915,4850012,Side Chann. Bord.,1989,3,08,H,NA,10.2,3.7,338,NA,NA,NA,NA,2,0,0,0,0,2,10,0,0,0
1989-09-18,639915,4850262,Side Chann. Bord.,1989,3,08,H,NA,19.5,3.55,331,0.04,NA,NA,NA,6,0,0,0,0,2,1,0,0,0
1989-09-18,639915,4850482,Side Chann. Bord.,1989,3,08,H,NA,19.1,3.3,339,0.1,NA,NA,NA,1,0,0,0,0,1,0,0,0,0
1989-09-19,640920,4849117,Main Chann. Bord.,1989,3,08,H,NA,19.8,3.4,NA,0.02,NA,3,NA,2,2,0,0,0,2,0,0,1,0
1989-09-19,641031,4849058,Main Chann. Bord.,1989,3,08,H,NA,19.9,3.1,NA,0.02,NA,3,NA,2,3,0,0,0,6,1,0,1,0
1989-09-19,641188,4848044,Main Chann. Bord.,1989,3,08,H,NA,19.6,3.6,NA,0.1,NA,3,NA,1,1,0,0,0,3,22,0,0,0
1989-09-20,641188,4848044,Main Chann. Bord.,1989,3,08,H,NA,19.6,3.6,NA,0.1,NA,NA,NA,0,6,0,0,0,2,4,0,0,0
1989-09-21,636921,4857744,Other,1989,3,08,T,NA,20.2,7.15,332,NA,NA,3,NA,0,0,0,0,0,0,0,0,0,0
