occ,utm_e,utm_n,pool,period,secchi,temp,depth,cond,current,do
1,733858,4660551,13,2,28,21.3,0.6,323,0,13.9
0,735758,4661101,13,3,NA,NA,NA,NA,NA,NA
1,736958,4658051,13,3,62,15.8,0.9,358,0,7.7
1,736958,4657901,13,3,60,18.8,0.6,391,0,8.4
0,738408,4656401,13,3,NA,NA,NA,NA,NA,NA
1,737458,4656751,13,3,70,18.8,0.7,406,0,6.7
1,736808,4658351,13,2,77,25.4,0.9,367,0,5.4
0,738158,4659801,13,3,NA,NA,NA,NA,NA,NA
0,737008,4659001,13,2,NA,NA,NA,NA,NA,NA
0,736858,4660901,13,3,NA,NA,NA,NA,NA,NA
1,737108,4657801,13,3,100,18.7,1.1,319,0,8.4
0,738108,4657251,13,2,NA,NA,NA,NA,NA,NA
1,737158,4657801,13,3,38,21.5,1,335,0,5.5
0,738158,4659801,13,3,NA,NA,NA,NA,NA,NA
0,736908,4658251,13,3,NA,NA,NA,NA,NA,NA
0,736758,4658501,13,3,NA,NA,NA,NA,NA,NA
1,736908,4657851,13,3,100,13.8,1,250,0,7.3
0,737208,4658301,13,3,NA,NA,NA,NA,NA,NA
1,737308,4657851,13,3,82,14.3,0.9,260,0,7.9
1,736558,4657851,13,1,83,23,0.8,323,0,10.5
0,736658,4661001,13,2,NA,NA,NA,NA,NA,NA
1,736958,4658001,13,2,100,25,1,220,0,2
0,738258,4659101,13,2,NA,NA,NA,NA,NA,NA
0,737258,4657901,13,2,96,25,0.7,233,0,3.7
1,736608,4657851,13,2,38,25.4,0.7,369,0,13.7
0,736558,4660801,13,2,NA,NA,NA,NA,NA,NA
1,737308,4657801,13,1,58,30.3,0.9,362,0,5.3
0,737008,4660551,13,1,NA,NA,NA,NA,NA,NA
0,737658,4656251,13,1,33,29.4,0.8,389,0,4.8
1,737558,4656801,13,3,80,16.8,0.8,378,0,10.4
1,737408,4660951,13,1,38,25.4,1.1,296,0,10.2
0,738008,4660301,13,1,40,25.4,1.2,300,0,10
0,738258,4659201,13,1,NA,NA,NA,NA,NA,NA
0,736908,4658251,13,1,35,25.2,1,298,0,7.1
0,737708,4660851,13,2,NA,NA,NA,NA,NA,NA
1,736958,4658001,13,2,60,25.7,0.6,263,0,7.9
